loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.0763,0.7876207232475281,0.0001,1.38,690,,,,,
0.0428,0.49830928444862366,0.0001,1.4,700,,,,,
0.036,1.0474677085876465,0.0001,1.42,710,,,,,
0.0405,0.5059741139411926,0.0001,1.44,720,,,,,
0.0674,1.2673598527908325,0.0001,1.46,730,,,,,
0.0456,0.5797067880630493,0.0001,1.48,740,,,,,
0.0675,0.6945961117744446,0.0001,1.5,750,,,,,
0.0604,0.6434378623962402,0.0001,1.52,760,,,,,
0.0579,0.9004426598548889,0.0001,1.54,770,,,,,
0.0484,0.2646324336528778,0.0001,1.56,780,,,,,
0.0522,0.8613430261611938,0.0001,1.58,790,,,,,
0.056,0.890350878238678,0.0001,1.6,800,,,,,
0.055,0.8281012773513794,0.0001,1.62,810,,,,,
0.0472,0.8617300391197205,0.0001,1.6400000000000001,820,,,,,
0.0589,0.8798079490661621,0.0001,1.6600000000000001,830,,,,,
0.0666,0.9603779911994934,0.0001,1.6800000000000002,840,,,,,
0.0584,0.1305251270532608,0.0001,1.7,850,,,,,
0.0383,0.641530454158783,0.0001,1.72,860,,,,,
0.0474,0.982874870300293,0.0001,1.74,870,,,,,
0.0388,0.32698190212249756,0.0001,1.76,880,,,,,
0.0502,0.7601116895675659,0.0001,1.78,890,,,,,
0.0534,0.7412052154541016,0.0001,1.8,900,,,,,
0.0455,1.5969417095184326,0.0001,1.8199999999999998,910,,,,,
0.0445,0.6143999695777893,0.0001,1.8399999999999999,920,,,,,
0.0534,1.3041781187057495,0.0001,1.8599999999999999,930,,,,,
0.0608,0.7180435061454773,0.0001,1.88,940,,,,,
0.0459,0.9957716464996338,0.0001,1.9,950,,,,,
0.0405,0.7186211943626404,0.0001,1.92,960,,,,,
0.0607,1.0654468536376953,0.0001,1.94,970,,,,,
0.0655,0.17075592279434204,0.0001,1.96,980,,,,,
0.0402,1.1526614427566528,0.0001,1.98,990,,,,,
0.0796,1.017403483390808,0.0001,2.0,1000,,,,,
0.0378,0.4300117790699005,0.0001,2.02,1010,,,,,
0.0437,0.6070846915245056,0.0001,2.04,1020,,,,,
0.0309,0.785987138748169,0.0001,2.06,1030,,,,,
0.0445,0.6939825415611267,0.0001,2.08,1040,,,,,
0.054,0.7623351216316223,0.0001,2.1,1050,,,,,
0.0363,0.25868114829063416,0.0001,2.12,1060,,,,,
0.0542,1.0686218738555908,0.0001,2.14,1070,,,,,
0.0525,0.9932547211647034,0.0001,2.16,1080,,,,,
0.0484,1.4641855955123901,0.0001,2.18,1090,,,,,
0.0408,0.08093277364969254,0.0001,2.2,1100,,,,,
0.0413,0.672476053237915,0.0001,2.22,1110,,,,,
0.0392,1.1651514768600464,0.0001,2.24,1120,,,,,
0.0469,1.6528505086898804,0.0001,2.26,1130,,,,,
0.0507,1.3507691621780396,0.0001,2.2800000000000002,1140,,,,,
0.0286,0.9491283893585205,0.0001,2.3,1150,,,,,
0.0352,0.8490146398544312,0.0001,2.32,1160,,,,,
0.0273,0.7894192337989807,0.0001,2.34,1170,,,,,
0.0418,0.9326656460762024,0.0001,2.36,1180,,,,,
0.0406,0.84151691198349,0.0001,2.38,1190,,,,,
0.0402,1.816510796546936,0.0001,2.4,1200,,,,,
0.0316,0.7058668732643127,0.0001,2.42,1210,,,,,
0.0341,1.1673870086669922,0.0001,2.44,1220,,,,,
0.0515,1.0509731769561768,0.0001,2.46,1230,,,,,
0.0453,0.8653188943862915,0.0001,2.48,1240,,,,,
0.0274,0.43968653678894043,0.0001,2.5,1250,,,,,
0.0372,0.6605563759803772,0.0001,2.52,1260,,,,,
0.0339,0.5859359502792358,0.0001,2.54,1270,,,,,
0.049,0.17189271748065948,0.0001,2.56,1280,,,,,
0.0498,0.22903607785701752,0.0001,2.58,1290,,,,,
0.0498,1.3091844320297241,0.0001,2.6,1300,,,,,
0.0571,1.5026763677597046,0.0001,2.62,1310,,,,,
0.0325,0.9988457560539246,0.0001,2.64,1320,,,,,
0.0531,0.20986716449260712,0.0001,2.66,1330,,,,,
0.0252,0.711121141910553,0.0001,2.68,1340,,,,,
0.0434,0.6582421064376831,0.0001,2.7,1350,,,,,
0.0342,0.1563541740179062,0.0001,2.7199999999999998,1360,,,,,
0.0522,2.5397515296936035,0.0001,2.74,1370,,,,,
0.0607,1.639919638633728,0.0001,2.76,1380,,,,,
0.0424,1.2951633930206299,0.0001,2.7800000000000002,1390,,,,,
0.0452,1.192576289176941,0.0001,2.8,1400,,,,,
0.0563,0.7159870862960815,0.0001,2.82,1410,,,,,
0.0557,0.4993833899497986,0.0001,2.84,1420,,,,,
0.0411,1.064954161643982,0.0001,2.86,1430,,,,,
0.0384,0.8750997185707092,0.0001,2.88,1440,,,,,
0.0325,0.1497429460287094,0.0001,2.9,1450,,,,,
0.055,0.9585249423980713,0.0001,2.92,1460,,,,,
0.0341,1.1891162395477295,0.0001,2.94,1470,,,,,
0.0464,0.8667576313018799,0.0001,2.96,1480,,,,,
0.0402,0.6059710383415222,0.0001,2.98,1490,,,,,
0.0631,0.9015690684318542,0.0001,3.0,1500,,,,,
,,,3.0,1500,2680.8069,2.238,0.56,2.3450216189018112e+17,0.05773878937959671
